Time (s) angolo_30_1.0;Light Intensity (%) angolo_30_1.0
1.44;101.1
1.76;101.1
2;101.1
2.32;101.1
2.44;101.1
2.6;101.1
2.76;101.1
3;101.1
3.24;101.1
3.44;101.1
5.28;101.1
5.92;101.1
6.12;101.1
6.28;101.1
6.4;101.1
6.6;101.1
6.68;101.1
6.84;101.1
7.08;101.1
7.4;101.1
7.52;101.1
7.72;101.1
7.84;101.1
7.96;101.1
8.16;101.1
8.28;101.1
8.4;101.1
8.56;101.1
8.76;101.1
8.92;101.1
9.08;101.1
9.24;101.1
9.32;101.1
9.52;101.1
9.72;101.1
9.88;101.1
10;101.1
10.16;101.1
10.32;101.1
10.4;101.1
10.6;101.1
10.72;101.1
10.92;101.1
11.04;101.1
11.24;101.1
11.36;101.1
11.56;101.1
11.68;101.1
11.84;101.1
12;101.1
12.12;101.1
12.28;101.1
12.44;101.1
12.6;101.1
12.72;101.1
12.92;101.1
13.08;101.1
13.28;101.1
13.36;101.1
13.6;101.1
13.72;101.1
13.88;101.1
14;101.1
14.16;101.1
14.36;101.1
14.48;101.1
14.68;101.1
14.84;101.1
15;101.1
15.2;101.1
15.32;101.1
15.52;101.1
15.64;101.1
15.84;101.1
16;101.1
16.12;101.1
16.28;101.1
16.44;101.1
16.6;101.1
16.72;101.1
16.84;101.1
17;101.1
17.16;101.1
17.32;101.1
17.52;101.1
17.72;101.1
17.84;101.1
18.04;101.1
18.16;101.1
18.36;101.1
18.48;101.1
18.64;101.1
18.84;101.1
19.04;101.1
19.2;101.1
19.36;101.1
19.52;101.1
19.64;101.1
19.84;101.1
20;101.1
20.24;101.1
20.48;101.1
20.6;101.1
20.76;101.1
21.04;101.1
21.16;101.1
21.32;101.1
21.48;101.1
21.64;101.1
21.76;101.1
21.88;101.1
22.08;101.1
22.28;101.1
22.44;101.1
22.6;101.1
22.72;101.1
22.88;101.1
23;101.1
23.2;101.1
23.4;101.1
23.52;101.1
23.72;101.1
23.92;101.1
24.12;101.1
24.28;101.1
24.48;101.1
24.68;101.1
24.84;101.1
25.04;101.1
25.16;101.1
25.36;101.1
25.56;101.1
25.68;101.1
25.84;101.1
26.04;101.1
26.2;101.1
26.4;101.1
26.48;101.1
26.68;101.1
26.84;101.1
26.96;101.1
27.12;101.1
27.32;101.1
27.48;101.1
27.68;101.1
27.84;101.1
27.96;101.1
28.16;101.1
28.36;101.1
28.48;101.1
28.64;101.1
28.8;101.1
29;101.1
29.12;101.1
29.32;101.1
29.48;101.1
29.6;101.1
29.8;101.1
29.92;101.1
30.24;101.1
30.36;101.1
30.8;101.1
31;101.1
31.12;101.1
31.32;101.1
31.52;101.1
31.68;101.1
31.84;101.1
32;101.1
32.2;101.1
32.4;101.1
32.52;101.1
32.72;101.1
32.92;101.1
33.08;101.1
33.28;101.1
33.48;101.1
33.64;101.1
33.84;101.1
34;101.1
34.2;101.1
34.52;101.1
34.72;101.1
34.92;101.1
35.08;101.1
35.28;101.1
35.48;101.1
35.64;101.1
35.8;101.1
35.96;101.1
36.12;101.1
36.32;101.1
36.52;101.1
36.72;101.1
36.88;101.1
37.08;101.1
37.28;101.1
37.64;101.1
37.72;101.1
37.92;101.1
38.08;101.1
38.28;101.1
38.4;101.1
38.6;101.1
38.72;101.1
38.92;101.1
39.04;101.1
39.16;101.1
39.36;101.1
39.48;101.1
39.68;101.1
39.88;101.1
40.04;101.1
40.2;101.1
40.36;101.1
40.56;101.1
40.68;101.1
40.84;101.1
41.04;101.1
41.16;101.1
41.36;101.1
41.48;101.1
41.68;101.1
41.8;101.1
41.92;101.1
42.08;101.1
42.24;101.1
42.4;101.1
42.56;101.1
42.72;101.1
42.92;101.1
43.12;101.1
43.24;101.1
43.4;101.1
43.56;101.1
43.72;101.1
43.92;101.1
44.08;101.1
44.24;101.1
44.36;101.1
44.56;101.1
44.68;101.1
44.88;101.1
45;101.1
45.16;101.1
45.32;101.1
45.44;101.1
45.64;101.1
45.76;101.1
45.96;101.1
46.12;101.1
46.32;101.1
46.48;101.1
46.6;101.1
46.84;101.1
46.92;101.1
47.12;101.1
47.24;101.1
47.44;101.1
47.56;101.1
47.76;101.1
47.88;101.1
48.04;101.1
48.28;101.1
48.44;101.1
48.56;101.1
48.76;101.1
48.88;101.1
49;101.1
49.2;101.1
49.32;101.1
49.44;101.1
49.56;101.1
49.76;101.1
49.88;101.1
50;101.1
50.2;101.1
50.32;101.1
50.48;101.1
50.56;101.1
50.76;101.1
50.92;101.1
51.08;101.1
51.24;101.1
51.36;101.1
51.48;101.1
51.72;101.1
51.88;101.1
52.08;101.1
52.2;101.1
52.36;101.1
52.52;101.1
52.68;101.1
52.88;101.1
